UNITID,09_Tuition,10_Tuition,11_Tuition
100636,0,0,0
100654,3948,4872,5328
100663,4224,5806,6264
100690,7200,7560,7920
100706,5580,6352,8094
100724,5616,6312,6312
100751,7000,7900,8600
100760,2130,2700,2700
100812,3600,4110,4590
100830,5640,6180,6930
100858,6240,7008,7296
100937,25800,26900,28250
101028,2130,2700,3210
101073,7200,7200,7920
101116,14685,15285,15735
101143,2130,2700,2996
101161,2130,2730,3210
101189,12720,13740,14730
101240,2130,2700,3210
101286,2130,2700,2760
101295,2130,2700,3210
101301,2130,2700,3210
101365,10220,10908,11040
101435,19990,18512,16702
101453,8709,8520,8952
101462,2130,2700,2568
101471,1944,1080,3852
101480,5970,6780,7650
101499,2130,2700,3210
101505,2130,2700,3210
101514,2130,2700,2760
101541,12340,13080,13600
101569,2130,2700,3210
101587,5060,5464,5848
101602,2130,2700,3210
101648,6000,6000,6000
101675,8506,9186,9738
101693,14500,15590,16450
101709,6510,7230,8040
101736,2130,2700,3210
101879,4008,4440,4896
101897,2130,2700,3210
101912,13042,13434,13838
101949,2272,2700,3210
101958,7800,7800,8400
101994,2130,2700,3210
102030,2130,2700,3210
102049,20200,21722,23423
102058,3600,5250,5250
102067,2130,2700,3210
102076,2130,2700,3210
102094,4860,5448,5904
102234,23910,25110,26360
102261,10080,11250,11250
102270,12160,12524,13026
102298,8140,10175,10175
102313,2130,2700,2568
102368,4632,5184,5640
102377,15630,16100,17070
102395,10080,10800,11880
102429,2130,2880,3210
102553,4500,4755,5115
102614,4500,6840,6840
102632,4500,4755,5115
102669,24300,4755,5115
102845,17750,26250,27000
103361,3990,17750,17725
103644,15024,4065,3990
103723,31175,15024,12420
103778,7260,12425,12600
103787,31864,9750,10500
103963,5997,7793,15790
104151,1440,1440,9208
104160,6540,7614,1680
104179,25560,27000,9114
104188,1736,1950,27540
104346,10584,11340,2100
104364,1352,1490,11680
104425,14080,14860,1512
104531,1520,1520,15294
104577,27480,28560,1600
104586,30000,30000,28680
104665,1704,1704,30000
104708,16500,16500,1824
104717,1704,1704,9198
105145,1704,1704,1824
105154,16848,17748,1824
105163,16848,17748,17748
105172,1920,2070,17748
105206,720,720,2220
105297,6092,5431,720
105330,1248,1344,6514
105349,9480,9840,1440
105367,1704,1704,10440
105428,8760,9720,1824
105516,1236,1284,10219
105525,23232,24864,1404
105589,1704,1704,26208
105668,1704,1704,1824
105747,1704,1704,1824
105792,14400,15264,1824
105899,9792,10480,17982
106102,1392,1488,10560
106148,5040,5228,1608
106245,5554,6032,5490
106263,6400,6592,6795
106306,19424,21100,6960
106342,5010,5211,22682
106397,3540,3750,5888
106412,1872,1944,3975
106449,4890,5100,1992
106458,4008,4080,5304
106467,3510,3600,4320
106485,6400,6400,3780
106546,1680,1680,6592
106625,5205,5235,1680
106704,9150,9750,5387
106713,1740,1800,10500
106795,7650,8400,1920
106810,1350,1350,8800
106829,2040,2190,1350
106883,2700,2808,2340
106980,1584,1656,2988
106999,13140,13590,1728
107044,4080,4272,14160
107071,28713,30410,4488
107080,18032,18844,32509
107141,1800,1920,19834
107318,1736,1792,2208
107327,1848,1944,1820
107460,1890,1890,2040
107488,18038,18805,1890
107512,1770,1800,19545
107521,1680,1800,1860
107549,18300,19930,1800
107558,2310,2400,21450
107585,8620,9050,2490
107600,1920,2010,11350
107619,2040,2340,2110
107637,2400,2460,2400
107664,1770,1844,2520
107725,1632,1680,1920
107743,10600,11200,1752
107877,1824,1920,11800
107974,5100,5340,2016
107983,2550,2640,5580
107992,3420,3570,2790
108092,17760,17760,3024
108232,16848,17748,17760
108250,728,728,17748
108269,722,722,1008
108667,26500,28620,1008
108807,20511,20511,29900
108852,17445,17968,18866
108861,0,0,0
108870,780,780,780
109013,31076,31668,33544
109086,26950,28000,29100
109208,624,728,1008
109350,624,624,864
109651,17600,18300,8200
109785,8200,8200,29908
109819,27744,28852,17440
109907,26160,26160,11645
110051,11920,12000,864
110060,624,624,23040
110097,21285,22140,1008
110185,728,728,23998
110219,21866,22854,36960
110246,32904,34872,36387
110307,33324,34989,32610
110316,28980,30750,5472
110334,0,0,16350
110361,15000,16350,5472
110370,0,0,5472
110398,0,0,5472
110404,0,0,5472
110413,0,0,5472
110422,0,0,5472
110468,0,0,5472
110486,0,0,5472
110495,0,0,5472
110510,0,0,5472
110529,0,0,5472
110538,0,0,5472
110547,0,0,5472
110556,0,0,11220
110565,7533,9402,11220
110574,7533,9402,11220
110583,7533,9402,11220
110592,7533,9402,11220
110608,7533,9402,11220
110617,7533,9402,11220
110635,7533,9402,11220
110644,7533,9402,7080
110653,6900,7080,15790
110662,14160,17771,14723
110671,34830,36166,37684
110680,0,0,5472
110699,624,732,1013
110705,780,624,864
110714,728,728,1060
110778,624,728,1008
110918,0,0,0
111009,676,676,864
111081,35790,37500,39200
111188,11200,11200,10116
111391,24650,25400,26700
111434,20580,21610,22690
111461,780,780,1080
111887,0,0,0
111896,38275,39995,41995
111920,7038,6432,864
111939,624,624,19488
111948,17856,18744,19500
111966,45360,45892,864
112075,624,624,17685
112084,16500,16785,1728
112127,624,1248,1008
112172,738,738,0
112190,0,0,864
112251,0,624,676
112260,820,820,1044
112312,754,754,864
112385,624,624,1080
112394,765,765,11500
112446,11500,11500,1008
112525,728,728,18480
112561,15700,16800,15294
112570,14400,14860,1008
112686,738,738,36900
112826,33540,35220,958
113096,698,698,1728
113111,650,1248,1008
113193,728,728,25469
113218,25011,25011,21775
113236,19900,19900,25469
113333,25011,25011,25469
113537,25011,25011,0
113573,0,0,1080
113582,765,765,864
113607,624,624,24520
113634,23640,23640,864
113698,624,624,936
113704,624,676,864
113856,624,624,13920
113980,13440,13680,864
114114,624,624,1044
114266,754,754,1080
114354,780,736,42140
114372,38222,40133,12975
114390,12240,12975,12975
114415,12240,12975,12975
114433,12240,12975,12975
114549,12240,12975,12975
114585,12240,12975,30050
114716,27000,28350,5472
114734,0,0,10620
114789,9648,10116,1008
114813,733,733,17950
114840,15950,15950,1103
114859,624,793,17748
114938,16848,17748,17748
115001,16848,17748,17748
115083,16848,17748,14400
115126,15660,15660,24744
115214,16680,19200,864
115296,21408,23568,12000
115393,624,624,18648
115409,12000,12000,31300
115454,24144,18648,23730
115472,28250,29800,936
115490,21600,22600,1008
115515,675,675,864
115533,728,728,15660
115728,624,624,8845
115746,15660,15660,12708
115755,8845,8845,26136
115773,12204,12204,26400
115861,23637,24840,1008
116226,25200,25680,15660
116439,728,728,958
116466,15660,12000,958
116475,698,698,958
116484,698,698,958
116624,698,698,958
116712,698,698,26260
116846,698,698,958
117052,24280,25250,15660
117104,698,698,958
117113,15660,15660,1008
117140,698,698,18648
117168,738,738,36912
117195,19765,18648,1080
117247,34730,35740,27396
117274,780,780,864
117520,24052,25134,34476
117557,624,624,864
117575,31720,33150,1008
117627,15660,15660,38066
117636,624,624,864
117645,728,728,864
117672,35196,36428,864
117690,624,624,32800
117706,624,624,864
117715,624,624,780
117724,31000,32000,824
117733,624,624,30696
117751,780,780,1080
117788,624,624,18000
117803,27840,29232,23175
117867,780,780,864
117894,12240,17000,14364
117928,23100,22500,14904
117946,624,624,13536
118347,6440,17513,7608
118541,10728,13428,11376
118684,15660,15560,15660
118693,20400,12096,22995
118709,7200,6720,7200
118718,26830,11088,29610
118772,37970,15660,41860
118888,780,21900,864
118912,624,7200,864
118930,30660,28200,34454
118976,780,39870,780
119058,21560,624,23600
119067,12523,624,13731
119137,15660,32200,15660
119164,20832,780,17496
119173,15660,22890,15660
119216,14080,13140,18740
119234,23844,15660,25740
119270,31730,21864,35770
119331,15660,15660,1008
119544,0,15400,1008
119605,772,24996,912
119678,676,33600,13440
119775,13440,15660,40500
120166,37730,728,38832
120184,35840,772,25120
120254,24300,672,27700
120290,25300,13440,39572
120342,36710,38960,1008
120403,624,37520,14765
120421,13957,25120,864
120537,624,26500,15660
120698,15660,38087,37002
120740,33594,728,864
120768,624,14062,864
120795,624,624,1080
120838,780,15660,12240
120865,18360,35240,6612
120883,15660,624,0
120944,0,624,728
120953,624,780,37648
120971,15660,12960,864
121044,34148,15660,15512
121071,624,0,864
121150,13820,728,864
121257,624,35686,5472
121275,624,624,38150
121309,0,14440,34046
121345,35870,624,36500
121363,30880,624,5472
121381,33000,0,15660
121619,0,36950,37040
121628,15660,32424,15660
121691,34430,34900,864
121707,15660,0,14125
121886,624,15660,14125
121901,12450,36000,20422
121983,12450,15660,1008
122117,18717,624,5472
122180,728,12825,624
122205,0,13318,10957
122287,624,18717,14153
122296,13302,728,11309
122339,728,0,1008
122366,36000,624,39048
122375,624,13479,864
122384,707,728,980
122409,15660,37368,15660
122436,38486,624,41736
122454,624,708,728
122506,8800,15660,9600
122597,624,40236,744
122603,624,16011,864
122612,10000,624,10000
122649,15660,9600,15660
122658,20400,624,21600
122685,624,624,864
122694,790,10000,1080
122728,0,15660,0
122746,33760,21000,37000
122755,780,624,1080
122791,0,780,5472
122843,7650,0,7650
122889,25452,35280,27400
122931,502,728,1008
122977,15660,0,15660
123013,15660,7650,15660
123095,15660,26342,7500
123165,25000,728,30250
123217,38570,15660,42162
123280,15660,15660,15660
123299,780,15660,1080
123341,15660,27500,15660
123396,22400,40384,22850
123448,8500,15660,10305
123457,780,780,780
123484,624,15660,15660
123509,728,22400,864
123527,11314,9630,1008
123554,624,780,10400
123563,698,624,864
123572,15660,728,958
123633,624,9360,864
123651,15660,624,15660
123800,32150,698,34570
123855,33868,15660,36632
123916,27635,624,29604
123943,15660,15660,15660
