UNITID,EFTOTLT,EFTOTLM,EFTOTLW
100654,5020,2268,2752
100663,18568,7309,11259
100690,631,264,367
100706,7376,4136,3240
100724,6075,2399,3676
100751,34752,15763,18989
100760,1906,738,1168
100812,3170,1107,2063
100830,5084,1884,3200
100858,24864,12628,12236
100937,1188,643,545
101028,1837,680,1157
101073,600,349,251
101116,682,177,505
101143,2333,1336,997
111461,18508,9658,8850
111513,167,4,163
111638,606,128,478
111708,267,224,43
111717,345,173,172
111726,234,151,83
111744,103,100,3
111762,88,45,43
111771,104,67,37
111799,65,18,47
111887,21404,9717,11687
111896,4523,1631,2892
111920,13142,6108,7034
111939,19211,8135,11076
111948,7892,3269,4623
111966,515,167,348
112075,4046,1730,2316
112084,914,429,485
112127,79,32,47
112181,96,4,92
112190,26706,12917,13789
112251,2204,1036,1168
112288,354,44,310
112385,10378,5709,4669
112394,472,354,118
112446,833,688,145
112455,40,3,37
112561,2626,1153,1473
112570,314,210,104
112686,7693,2762,4931
112783,268,120,148
112826,6865,2853,4012
113096,13949,6173,7776
101161,4362,1593,2769
101189,3193,1203,1990
101240,5797,2364,3433
101277,89,1,88
101286,4686,1590,3096
101295,5281,1998,3283
101301,1745,590,1155
101365,320,100,220
101435,1110,553,557
101453,94,81,13
101462,1383,642,741
101471,513,385,128
101480,8693,3632,5061
101499,1091,460,631
101505,8542,3328,5214
101514,11186,4886,6300
101541,347,16,331
101569,3028,1233,1795
101587,4427,1219,3208
101602,1570,606,964
101648,418,340,78
101675,1666,874,792
101693,1610,513,1097
101709,3062,1003,2059
101736,3854,1667,2187
101879,6931,2915,4016
101897,2834,1113,1721
101912,1903,807,1096
101949,1349,522,827
101958,102,4,98
101994,517,196,321
102030,3896,1570,2326
102049,4833,1826,3007
102058,611,336,275
102067,5068,2209,2859
102076,2295,907,1388
102094,15065,5806,9259
102234,1422,563,859
102261,161,94,67
102270,863,443,420
102298,932,440,492
102313,1351,673,678
102368,20573,7506,13067
102377,3118,1258,1860
102395,347,241,106
102429,3490,1265,2225
102553,17363,7086,10277
102580,42,22,20
102614,9166,3892,5274
102632,2996,1040,1956
102669,669,235,434
102711,1347,1032,315
102845,2191,611,1580
103361,471,182,289
103501,335,60,275
103644,2761,742,2019
103723,254,189,65
103732,43,8,35
103741,175,10,165
103778,1022,722,300
103787,79,34,45
103811,278,250,28
103893,676,111,565
103909,691,128,563
103927,440,93,347
103945,209,53,156
103954,47,2,45
103963,505,481,24
104090,844,158,686
104151,48702,27532,21170
104160,8000,3459,4541
104179,40621,19520,21101
104188,221,104,117
104294,226,20,206
104346,6445,2377,4068
104364,684,288,396
104391,83,8,75
104425,4453,2085,2368
104434,53,1,52
104443,113,15,98
104504,143,38,105
104568,273,10,263
104577,6602,2945,3657
104586,1921,1517,404
104665,10,7,3
104708,20872,9673,11199
104717,55497,13704,41793
104805,2238,429,1809
104911,210,11,199
105118,93,21,72
105145,6440,3180,3260
105154,23678,11519,12159
105163,409,353,56
105172,498,428,70
105206,5227,1894,3333
105215,2049,1948,101
105297,1466,467,999
105330,26594,10799,15795
105349,3233,1284,1949
105367,653,178,475
105428,12676,4965,7711
105482,87,28,59
105516,4480,1991,2489
105525,30082,14119,15963
105534,1726,441,1285
105543,930,165,765
105589,943,334,609
105659,621,609,12
105668,21472,8163,13309
105677,39,38,1
105701,64,2,62
105747,10313,4803,5510
105792,4718,1868,2850
105899,635,317,318
105987,284,132,152
106041,2337,2267,70
106102,2042,771,1271
106111,172,15,157
106148,8197,3582,4615
106245,12377,5029,7348
106263,2867,993,1874
106281,32,8,24
106306,1027,650,377
106315,37,8,29
106324,46,1,45
106342,592,271,321
106351,134,77,57
106360,50,6,44
106397,25341,12601,12740
106412,2615,1196,1419
106449,4380,1874,2506
106458,13552,5386,8166
106467,11369,5054,6315
106485,3893,1600,2293
106494,64,3,61
106546,918,96,822
106625,2248,815,1433
106704,11534,4531,7003
106713,827,422,405
106795,1597,526,1071
106810,200,110,90
106829,286,171,115
106883,1386,471,915
106892,302,9,293
106908,482,29,453
106980,3246,1200,2046
106999,1353,435,918
107044,6238,2677,3561
107071,3583,1532,2051
107080,1444,652,792
107099,43,1,42
107123,76,10,66
107141,2596,1100,1496
107211,27,5,22
107220,364,18,346
107275,15,0,15
107293,75,1,74
107318,1793,678,1115
107327,1425,515,910
107363,65,6,59
107442,79,47,32
107460,2167,903,1264
107488,252,152,100
107512,1543,726,817
107521,1501,550,951
107549,1489,478,1011
107558,585,283,302
107585,2149,907,1242
107600,556,187,369
107619,2029,711,1318
107637,1601,525,1076
107655,50,0,50
107664,10527,3776,6751
107725,1460,478,982
107743,957,322,635
107789,96,8,88
107831,104,5,99
107840,330,90,240
107877,574,219,355
107974,1632,437,1195
107983,3404,1394,2010
107992,1730,852,878
108065,25,0,25
108092,7170,3141,4029
108232,16001,6787,9214
108250,510,405,105
108269,132,51,81
108348,44,22,22
108649,186,4,182
108667,5799,2637,3162
108807,10885,5215,5670
108852,258,114,144
108861,49,32,17
108870,348,208,140
108977,45,9,36
109040,1770,390,1380
109086,31,16,15
109208,29701,13643,16058
109332,170,19,151
109350,14262,5815,8447
109651,1985,1002,983
109721,404,176,228
109730,110,88,22
109785,10755,3634,7121
109819,17770,7796,9974
109907,3211,1285,1926
109934,185,11,174
110060,353,202,151
110097,6301,2940,3361
110185,518,303,215
110194,45,45,0
110219,927,231,696
110246,12163,5807,6356
110307,206,40,166
110316,1271,340,931
110334,13666,6589,7077
110361,7144,2455,4689
110370,1949,742,1207
110398,1088,534,554
110404,2181,1497,684
110413,4282,1863,2419
110422,19703,10772,8931
110468,4201,1256,2945
110486,8371,3239,5132
110495,8917,3111,5806
110510,18398,7030,11368
110529,22501,12584,9917
110538,16356,7685,8671
110547,14670,5050,9620
110556,23060,9682,13378
110565,38325,16854,21471
110574,14526,5616,8910
110583,35586,15204,20382
110592,23258,9471,13787
110608,38310,17020,21290
110617,28811,12272,16539
110635,36198,18099,18099
110644,33307,14894,18413
110653,28895,13832,15063
110662,40795,19349,21446
110671,21207,10529,10678
110680,29517,15752,13765
110699,3079,1159,1920
110705,22225,10848,11377
110714,17203,8160,9043
110778,453,114,339
110875,114,6,108
110918,30,19,11
110945,762,340,422
111009,489,275,214
111054,219,10,209
111081,1489,708,781
111188,1045,896,149
111391,704,324,380
111434,6620,2469,4151
113111,5697,2705,2992
113193,9256,4530,4726
113218,8859,4183,4676
113236,15881,7164,8717
113333,23261,12003,11258
113397,1330,52,1278
113449,229,78,151
113537,29,15,14
113573,9259,4269,4990
113582,181,11,170
113634,20286,9755,10531
113698,2147,537,1610
113704,89,78,11
113856,36606,19253,17353
113908,566,50,516
113980,23996,11672,12324
114044,205,18,187
114071,397,19,378
114080,254,9,245
114114,203,44,159
114123,419,88,331
114266,9211,4228,4983
114354,3459,382,3077
114390,637,43,594
114415,214,24,190
114433,1782,943,839
114460,246,12,234
114549,1190,331,859
114585,402,126,276
114628,47,9,38
114716,14814,7408,7406
114734,44,19,25
114761,83,1,82
114789,21344,9930,11414
114813,3393,1057,2336
114840,2694,1679,1015
114859,24301,11864,12437
114938,5834,2774,3060
114947,192,100,92
115001,15744,7124,8620
115010,293,75,218
115083,3227,1410,1817
115126,12717,5997,6720
115214,253,149,104
115296,18618,8259,10359
115357,30,2,28
115393,9439,4890,4549
115409,807,432,375
115454,1150,336,814
115472,1791,549,1242
115490,1671,598,1073
115515,1074,418,656
115533,1503,414,1089
115658,126,9,117
115728,1343,375,968
115746,1060,253,807
115755,8293,3817,4476
115773,990,224,766
115861,7701,3210,4491
115931,173,120,53
116226,296,26,270
116350,268,32,236
116439,13362,6613,6749
116466,1209,1079,130
116475,534,442,92
116484,823,698,125
116563,184,8,176
116712,1356,335,1021
116846,229,119,110
117052,13807,5932,7875
117104,627,323,304
117113,1869,1048,821
117140,8796,3591,5205
117168,544,219,325
117195,2426,1059,1367
117238,93,18,75
117247,11362,5260,6102
117274,2494,1843,651
117520,456,259,197
117557,492,245,247
117575,189,120,69
117627,2440,1034,1406
117636,4693,1835,2858
117645,24020,10893,13127
117672,968,465,503
117690,10098,4161,5937
117706,20080,9407,10673
117715,7864,2427,5437
117724,13879,7313,6566
117733,18762,8086,10676
117751,1499,941,558
117788,19635,8680,10955
117803,185,41,144
117867,8990,3602,5388
117894,8525,3914,4611
117928,1317,714,603
117946,9661,4026,5635
117955,186,7,179
118116,67,3,64
118125,36,1,35
118134,67,2,65
118143,56,5,51
118161,126,2,124
118189,138,5,133
118198,594,167,427
118259,547,81,466
118277,1354,334,1020
118286,896,242,654
118347,6077,2574,3503
118356,2405,177,2228
118541,1037,463,574
118684,3729,1513,2216
118693,745,462,283
118718,10205,4436,5769
118772,5887,2098,3789
118888,1595,126,1469
118912,14537,6364,8173
118921,616,49,567
118930,9130,4083,5047
118958,48,6,42
118967,792,368,424
118976,17084,7383,9701
118994,76,74,2
119058,731,257,474
119067,9519,4935,4584
119137,14206,6875,7331
119164,28481,13874,14607
119173,3274,309,2965
119216,14170,6057,8113
119234,105,54,51
119270,1204,978,226
119331,6308,2762,3546
119340,267,51,216
119359,696,174,522
119368,232,59,173
119438,172,22,150
119456,494,74,420
119465,561,139,422
119508,747,329,418
119544,813,216,597
119553,764,265,499
119605,18207,7236,10971
119678,2870,2466,404
119775,514,363,151
119845,153,3,150
119951,275,7,268
120069,280,34,246
120078,550,93,457
120087,193,36,157
120166,988,586,402
120184,2030,609,1421
120254,2128,930,1198
120272,70,6,64
120290,10310,5191,5119
120342,21886,11344,10542
120403,1086,381,705
120421,6939,3167,3772
120537,1356,589,767
120661,895,265,630
120698,948,205,743
120740,99,51,48
120768,1072,74,998
120795,183,80,103
120838,173,85,88
120865,1647,725,922
120883,6421,2960,3461
120953,3253,2494,759
120971,24665,13773,10892
121017,99,4,95
121044,25268,12172,13096
121150,7315,2925,4390
121257,1081,433,648
121275,370,272,98
121309,3359,1185,2174
121345,1610,773,837
121363,3810,1486,2324
121381,571,253,318
121433,108,7,101
121619,28598,18484,10114
121628,102,54,48
121637,71,3,68
121691,5147,2342,2805
121707,4938,2170,2768
121859,228,9,219
121868,129,3,126
121886,16548,8911,7637
121901,18165,8017,10148
121983,559,152,407
121992,210,42,168
122117,179,72,107
122180,23509,10309,13200
122205,20871,9593,11278
122250,92,92,0
122296,1542,385,1157
122339,16310,7722,8588
122366,230,224,6
122375,24251,11692,12559
122384,11891,6587,5304
122409,31899,14160,17739
122436,8321,3575,4746
122454,680,284,396
122506,399,185,214
122597,29905,12709,17196
122603,167,94,73
122612,10112,3752,6360
122649,194,103,91
122658,17629,7543,10086
122685,1616,361,1255
122694,642,180,462
122728,1095,426,669
122746,9446,4244,5202
122755,31278,15413,15865
122791,9377,4818,4559
122834,543,173,370
122843,672,336,336
122852,188,28,160
122889,19331,8964,10367
122931,8770,4479,4291
122977,29999,14306,15693
123013,22094,10069,12025
123095,589,149,440
123165,1009,11,998
123208,1199,1154,45
123217,10720,4781,5939
123280,53,35,18
123299,8479,3577,4902
123341,18374,8482,9892
123350,181,17,164
123396,137,9,128
123448,216,104,112
123457,1255,427,828
123484,2533,1311,1222
123493,1032,609,423
123509,10067,4786,5281
123527,12329,5496,6833
123554,4257,1667,2590
123563,9583,3950,5633
123572,9120,3458,5662
123581,147,130,17
123633,647,260,387
123642,374,37,337
123651,2415,762,1653
123679,898,246,652
123800,19591,9232,10359
123855,108,101,7
123916,90,24,66
123943,397,111,286
123952,493,309,184
123961,41368,19897,21471
123970,1146,523,623
124113,5444,3128,2316
124283,272,134,138
124292,366,185,181
124344,567,13,554
124487,265,131,134
124681,2732,1049,1683
124706,753,159,594
124779,33,3,30
124937,925,260,665
125028,12908,5830,7078
125037,107,48,59
125082,105,1,104
125091,11504,4980,6524
125170,6471,2917,3554
125231,51016,11696,39320
125310,42,1,41
125462,3055,1224,1831
125471,10767,4347,6420
125499,9636,4334,5302
125532,1267,180,1087
125718,143,136,7
125727,1321,508,813
125763,2339,1042,1297
125897,1607,779,828
126012,434,111,323
126030,431,209,222
126049,1036,522,514
126076,131,131,0
126119,6874,2748,4126
126164,90,1,89
126182,3211,1406,1805
126207,4955,2138,2817
126289,11621,5682,5939
126359,576,71,505
126401,389,115,274
126562,22206,9657,12549
126580,11321,5304,6017
126605,434,404,30
126614,32017,17671,14346
126669,5368,1838,3530
126678,2061,928,1133
126687,847,121,726
126702,1794,986,808
126711,5893,2598,3295
126748,1138,472,666
126775,5790,4137,1653
126784,182,180,2
126818,31186,15194,15992
126827,2049,1336,713
126854,62,3,59
126863,7874,3328,4546
126872,497,107,390
126915,423,135,288
126924,34,3,31
126942,10432,4613,5819
126951,1262,1209,53
126979,990,582,408
127024,438,256,182
127060,11778,5128,6650
127158,2802,1951,851
127185,4021,2050,1971
127200,19619,8537,11082
127219,53,1,52
127228,174,9,165
127273,349,148,201
127316,205,42,163
127389,902,390,512
127556,9676,4330,5346
127565,22752,10441,12311
127617,1851,654,1197
127653,992,328,664
127680,281,110,171
127699,258,58,200
127714,889,542,347
127732,1962,802,1160
127741,12710,4446,8264
127778,1449,617,832
127787,371,74,297
127820,14634,6261,8373
127839,339,90,249
127884,6718,3044,3674
127909,8599,4275,4324
127918,9722,3526,6196
127945,775,284,491
127954,79,6,73
128106,7089,2688,4401
128151,1184,668,516
128179,815,665,150
128188,536,134,402
128258,1791,825,966
128328,3993,3097,896
128337,161,6,155
128391,2404,1330,1074
128425,18,18,0
128498,1582,520,1062
128540,127,7,120
128577,1715,819,896
128586,59,59,0
128674,524,139,385
128683,837,216,621
128726,171,37,134
128744,4842,1820,3022
128771,11865,5828,6037
128780,1580,542,1038
128896,304,75,229
128902,1922,759,1163
128957,151,24,127
129002,298,199,99
129020,25911,12957,12954
129154,3388,581,2807
129181,655,630,25
129215,5368,2444,2924
129242,4919,1905,3014
129349,156,10,146
129367,4168,1229,2939
129428,281,224,57
129482,327,37,290
129491,123,67,56
129525,6820,3228,3592
129534,385,269,116
129543,5813,2231,3582
129613,62,5,57
129686,77,28,49
129695,7571,3564,4007
129729,7294,3059,4235
129756,2900,1271,1629
129774,866,464,402
129808,4749,1944,2805
129923,465,192,273
129932,302,294,8
129941,6555,3300,3255
129969,295,64,231
130004,6556,2782,3774
130040,1549,535,1014
130110,155,52,103
130129,503,66,437
130174,2630,1710,920
130183,8082,3253,4829
130217,1929,745,1184
130226,8803,3275,5528
130253,6983,2265,4718
130314,2640,271,2369
130396,8186,3409,4777
130448,827,103,724
130493,10804,3887,6917
130509,422,44,378
130581,112,32,80
130590,2390,1217,1173
130606,4547,1989,2558
130624,902,597,305
130697,3205,1539,1666
130776,6025,2752,3273
130785,10,1,9
130794,12109,6148,5961
130837,55,5,50
130873,638,50,588
130891,4429,1675,2754
130907,3031,1130,1901
130916,7030,2920,4110
130934,4336,1618,2718
130943,22166,9778,12388
130989,1868,1129,739
131061,146,3,143
131098,1655,777,878
131113,13621,4640,8981
131159,12818,5041,7777
131283,6725,3188,3537
131308,548,138,410
131399,5011,1851,3160
131405,119,98,21
131450,1561,622,939
131469,25264,11115,14149
131496,17849,8264,9585
131520,10297,3576,6721
131742,1373,195,1178
131803,1372,534,838
131830,37,18,19
131876,2506,197,2309
131973,628,320,308
132268,689,655,34
132338,1924,925,999
132374,902,538,364
132408,529,339,190
132471,9030,3069,5961
132523,35,15,20
132602,3787,1548,2239
132657,2297,1174,1123
132666,129,39,90
132675,140,76,64
132693,16711,7042,9669
132709,43883,18035,25848
132806,59,20,39
132842,991,200,791
132851,8162,3089,5073
132879,302,156,146
132903,59589,26844,32745
132976,567,276,291
133021,2160,795,1365
133085,505,261,244
133155,614,270,344
133386,14865,6001,8864
133465,1109,256,853
133492,2173,844,1329
133508,15423,6163,9260
133526,862,461,401
133553,5279,4323,956
133650,10743,4136,6607
133669,30759,13178,17581
133702,28134,11532,16602
133711,2839,1177,1662
133809,558,279,279
133845,630,87,543
133854,508,86,422
133863,454,91,363
133872,2293,500,1793
133881,5644,3786,1858
133942,68,9,59
133951,47663,21064,26599
133960,1139,515,624
133979,1560,606,954
133997,5818,2028,3790
134024,70,16,54
134079,2619,1015,1604
134097,40909,18407,22502
134112,4330,1401,2929
134121,103,25,78
134130,49878,23028,26850
134149,2054,520,1534
134228,28,7,21
134237,20949,15170,5779
134291,675,517,158
134307,710,685,25
134343,6271,2450,3821
134422,68,4,64
134495,26590,11565,15025
134510,200,108,92
134529,73,5,68
134574,173,52,121
134608,17248,6977,10271
134680,474,238,236
134714,257,58,199
134811,3208,1284,1924
134909,463,310,153
134945,4157,1497,2660
135063,449,84,365
135081,17129,5432,11697
135124,614,143,471
135142,290,8,282
135160,3057,1061,1996
135179,637,291,346
135188,4288,1665,2623
135267,816,575,241
135276,1017,647,370
135294,890,526,364
135337,209,22,187
135364,1277,914,363
135391,10533,4126,6407
135407,1252,616,636
135416,254,47,207
135522,446,200,246
135610,347,115,232
135647,1158,839,319
135717,66298,27724,38574
135726,16935,8268,8667
135735,2025,1789,236
135771,631,131,500
135939,189,68,121
135957,768,260,508
136048,98,6,92
136066,738,466,272
136075,39,2,37
136109,166,7,159
136145,1179,368,811
136172,16083,7093,8990
136206,646,390,256
136215,25670,7844,17826
136233,6708,2842,3866
136288,759,245,514
136303,540,198,342
136330,3764,1350,2414
136358,29763,12887,16876
136400,10206,3960,6246
136473,11235,4457,6778
136491,1044,735,309
136516,11085,4193,6892
136659,744,419,325
136701,106,101,5
136765,717,387,330
136774,1253,486,767
136783,32,4,28
136826,816,475,341
136950,3153,1288,1865
137023,631,312,319
137032,16275,6773,9502
137078,31820,12600,19220
137087,1128,629,499
137096,15113,6738,8375
137120,670,423,247
137148,793,201,592
137209,18427,8003,10424
137245,1244,606,638
137272,94,93,1
137281,6127,2320,3807
137315,2699,1034,1665
137351,41428,17988,23440
137476,2315,1010,1305
137537,226,25,201
137546,4044,1792,2252
137564,3434,1519,1915
137591,281,70,211
137713,142,45,97
137759,13509,6310,7199
137777,44,44,0
137801,770,419,351
137810,486,140,346
137847,7260,3274,3986
137856,58,46,12
137865,421,205,216
137953,323,190,133
137962,224,135,89
138132,79,4,75
138187,42180,18843,23337
138275,1162,537,625
138284,349,184,165
138293,715,478,237
138309,5640,1441,4199
138354,12588,5224,7364
138372,703,364,339
138479,827,430,397
138488,437,131,306
138497,288,177,111
138558,3394,1552,1842
138600,915,10,905
138655,383,305,78
138664,36,16,20
138682,3894,1551,2343
138691,6195,1891,4304
138716,4260,1382,2878
138761,316,156,160
138789,7101,2292,4809
138813,3078,1732,1346
138822,528,51,477
138840,4859,1958,2901
138868,1439,638,801
138901,3016,1109,1907
138929,579,270,309
138938,62,19,43
138947,3458,878,2580
138956,4379,1897,2482
139010,2695,760,1935
139074,751,138,613
139092,53,7,46
139144,2223,831,1392
139153,788,324,464
139199,2854,428,2426
139205,693,376,317
